age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
45-54,Agriculture/Forestry,Human Resource Manager,84000.0,USD,USA,Arizona,Yuma,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Education,Director,70000.0,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18-24,Business/Consulting/Administrative Work,Analyst,90000.0,USD,USA,Massachusetts,Boston,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
45-54,Agriculture/Forestry,Farm Manager,35880.0,USD,USA,Georgia,Woodstock ,31 - 40 years,21 - 30 years,College degree,Woman,White
35-44,Education,Senior project coordinator,76000.0,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Government/Public Administration,Manager,110452.0,USD,USA,Michigan,Lansing,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Nonprofits,Curator,34000.0,USD,USA,Florida,Jacksonville,31 - 40 years,11 - 20 years,Master's degree,Woman,White
35-44,Agriculture/Forestry,Formulation Specialist,66250.0,USD,USA,New York,Batavia,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Associate ,39000.0,USD,USA,Maine,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Admin. Assistant ,30000.0,USD,USA,Florida,Sarasota,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior Developer,165000.0,USD,USA,California,San Francisco,11 - 20 years,5 - 7 years,College degree,Woman,White
18-24,Engineering/Manufacturing/Construction,Architectural intern,43000.0,USD,USA,North Carolina,Raleigh,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Director,44000.0,USD,USA,New Hampshire,Troy,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Retail,Management,44000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Art/Design/Media,Copy editor,100000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Assistant Public Defender,50000.0,USD,USA,Georgia,Griffin,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Accounting/Banking/Finance,Banker,34320.0,USD,USA,Washington,Stanwood,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American
55-64,Education,Administrative Coordinator ,68000.0,USD,USA,New Jersey,Princeton ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Law,Assistant Public Defender,65000.0,USD,USA,Georgia,Atlanta,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
18-24,Art/Design/Media,Senior Digital Strategist,78000.0,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Restaurant Manager,50000.0,USD,USA,Ohio,Cincinnati ,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Sales,Service Supervisor ,72000.0,USD,USA,Texas,Dallas ,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Art/Design/Media,Editor,100000.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Director of Revenue Management ,62300.0,USD,USA,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Human Resources Business Partner,130000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Revenue accountant,60000.0,USD,USA,Texas,San Antonio,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Engineering/Manufacturing/Construction,Regional Controller,120000.0,USD,USA,Delaware,Wilmington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Manager ERP ITS,80000.0,USD,USA,Florida,Ft. Walton,31 - 40 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Art/Design/Media,Broadcast Journalist ,40000.0,USD,USA,Maine,Portland,8 - 10 years,8 - 10 years,College degree,Non-binary,White
35-44,Computing/IT/Tech,"Software Engineer, Security",230000.0,USD,USA,California,San Francisco,11 - 20 years,8 - 10 years,PhD,Man,White
35-44,Government/Public Administration,Branch Chief ,125000.0,USD,USA,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,Native American or Alaska Native
35-44,Computing/IT/Tech,Director of Engineering,210000.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Retail,Sales associate,32000.0,USD,USA,Washington,Bainbridge Island,2 - 4 years,1 year or less,Master's degree,Woman,White
18-24,Nonprofits,Case Manager,40000.0,USD,USA,Missouri,Kansas City,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Nonprofits,Program Manager,59000.0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
35-44,Nonprofits,Director of Development,95000.0,USD,USA,Massachusetts,Boston,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Staff Research Scientist,130000.0,USD,USA,Idaho,Idaho Falls,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Medical/Health Care,Manager,142000.0,USD,USA,Hawaii,Honolulu,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing/IT/Tech,Sr Executive Assistant,120000.0,USD,USA,California,San Francisco,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Nonprofits,Government Relations Director,0.0,USD,USA,Maryland,Lexington Park,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Microbiologist ,71000.0,USD,USA,New Jersey,Somerset,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Law,Attorney,95000.0,USD,USA,Pennsylvania,Philadelphia ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Business/Consulting/Administrative Work,Copywriter,70000.0,USD,USA,New York,New York City,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Medical/Health Care,Officer manager,36500.0,USD,USA,Texas,Denton,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Others/Not Correctly Specified,Senior research associate ,65000.0,USD,USA,Ohio,Cincinnati ,5 - 7 years,5 - 7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Education,Bioinformatics researcher,81000.0,USD,USA,Wisconsin,Madison,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Business/Consulting/Administrative Work,Payroll clerk,46000.0,USD,USA,Ohio,Massillon ,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Director of Construction,130000.0,USD,USA,Illinois,Chicago,21 - 30 years,8 - 10 years,College degree,Woman,Black or African American
35-44,Medical/Health Care,Manager,110000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,High School,Woman,White
25-34,Computing/IT/Tech,Software engineer,161000.0,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Law,Deputy General Counsel,194000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Utilities/Telecommunications,HR Manager,103000.0,USD,USA,Missouri,Saint Louis ,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Medical/Health Care,Nurse Educator,75000.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Project Manager,120000.0,USD,USA,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Education,Teacher,128000.0,USD,USA,New York,Uniondale,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Law,Patalegal,35000.0,USD,USA,Arkansas,Arkadelphia,21 - 30 years,5 - 7 years,College degree,Woman,White
35-44,Government/Public Administration,Deputy Division Director,149877.0,USD,USA,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Biotechnology/Pharma/Biology,Sr. Quality Systems Document Specialist,86000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,Master's degree,Non-binary,White
25-34,Business/Consulting/Administrative Work,Director of Operations,170000.0,USD,USA,Virginia,Fairfax,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Medical/Health Care,Accounts Payable Manager,105000.0,USD,USA,Missouri,St Louis,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Art/Design/Media,Integrated Campaign Manager,87000.0,USD,USA,New York,New York City,8 - 10 years,5 - 7 years,College degree,Man,White
35-44,Retail,Store manager,72000.0,USD,USA,North Carolina,Weaverville ,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
35-44,Government/Public Administration,Project Manager,97000.0,USD,USA,Oregon,Portland,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,Insurance,"AVP, Unit Manager, Communications",139000.0,USD,USA,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Art/Design/Media,Communications & Content Manager,70000.0,USD,USA,More than one State,milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Engineer,104000.0,USD,USA,Colorado,Denver,5 - 7 years,5 - 7 years,College degree,Man,White
35-44,Others/Not Correctly Specified,Customer Marketing Manager,130000.0,USD,USA,California,Chatsworth,11 - 20 years,2 - 4 years,Master's degree,Man,Asian or Asian American
25-34,Computing/IT/Tech,Data visualization consultant,108000.0,USD,USA,California,Lake Forest,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Art/Design/Media,Co-Executive Producer ,80000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Director of Finance,140000.0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Senior Credit Analyst ,150000.0,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Engineering/Manufacturing/Construction,Mechanical design engineer ,63440.0,USD,USA,Oklahoma,Oklahoma City,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Computing/IT/Tech,Staff Software Engineer,250000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Nonprofits,Data & Analytics Director,88000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Man,White
25-34,Insurance,Operations manager,104000.0,USD,USA,Oregon,Portland,8 - 10 years,5 - 7 years,Master's degree,Man,White
35-44,Accounting/Banking/Finance,Operations Supervisor,49955.0,USD,USA,Nebraska,Lincoln,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Instructional design consultant ,74000.0,USD,USA,Iowa,Des Moines ,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Medical/Health Care,RN Quality Reviewer,71400.0,USD,USA,Virginia,Richmond ,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Executive Director,82400.0,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Others/Not Correctly Specified,Restaurant Manager ,38000.0,USD,USA,Oklahoma,Broken Arrow ,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Product Leader - manager ,140000.0,USD,USA,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing/IT/Tech,senior software engineer,155000.0,USD,USA,Maryland,silver spring,11 - 20 years,11 - 20 years,High School,Man,White
18-24,Business/Consulting/Administrative Work,Human Resouces Business Partner ,65000.0,USD,USA,Wisconsin,Kenosha,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,"Project Manager, Mechanical",98000.0,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Law,Managing Principal,400000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Engineering/Manufacturing/Construction,Test Engineer,88000.0,USD,USA,California,Los Angeles,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Computing/IT/Tech,Software development manager,160000.0,USD,USA,Virginia,Arlington,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Lecturer,66142.0,USD,USA,Georgia,Athens,8 - 10 years,8 - 10 years,PhD,Woman,White
45-54,Computing/IT/Tech,Senior software engineer ,154000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
25-34,Computing/IT/Tech,Software engineer,180000.0,USD,USA,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Computing/IT/Tech,Software Engineer,95000.0,USD,USA,Maryland,Baltimore,8 - 10 years,2 - 4 years,PhD,Man,White
25-34,Computing/IT/Tech,Technical Program Manager,170000.0,USD,USA,California,Mountain View,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Business/Consulting/Administrative Work,Admin Assistant,45240.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,College degree,Man,White
25-34,Nonprofits,Director of Legislative Affairs,75000.0,USD,USA,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Data Scientist,145000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,Master's degree,Man,White
35-44,Biotechnology/Pharma/Biology,Regulatory Affairs Manager ,122000.0,USD,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Accounting/Banking/Finance,Fraud Analyst,25000.0,USD,USA,Oklahoma,Norman,11 - 20 years,5 - 7 years,Master's degree,Non-binary,White
35-44,Computing/IT/Tech,Privacy Engineer,201000.0,USD,USA,California,Sunnyvale,11 - 20 years,2 - 4 years,College degree,Man,Asian or Asian American
25-34,Nonprofits,Manager,60940.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing/IT/Tech,Platform Engineer,145000.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Government/Public Administration,Proofreader,41000.0,USD,USA,Maine,Augusta,5 - 7 years,2 - 4 years,Master's degree,Woman,White
25-34,Agriculture/Forestry,Quality Assurance Analyst ,52000.0,USD,USA,Wisconsin,Madison ,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Art/Design/Media,copyeditor,75000.0,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior DevOps Engineer,200000.0,USD,USA,Oregon,Ashland,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Business/Consulting/Administrative Work,HR Business Partner,145000.0,USD,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Senior Accountant ,72000.0,USD,USA,Arkansas,Little Rock ,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior data engineer,115000.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
35-44,Medical/Health Care,Improvement Consultant ,86000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,HR Assistant,42400.0,USD,USA,Massachusetts,Amherst,5 - 7 years,2 - 4 years,College degree,Man,White
45-54,Government/Public Administration,Library Manager,63000.0,USD,USA,Texas,Dallas,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Youth Services Supervisor,52000.0,USD,USA,Kansas,Kansas City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Senior Research Technician,41579.0,USD,USA,Missouri,St. Louis,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Social Work,Therapist,49000.0,USD,USA,Illinois,Chicago,11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Director of Operations ,92500.0,USD,USA,Texas,Dallas,11 - 20 years,2 - 4 years,Master's degree,Man,White
45-54,Nonprofits,Executive Director,105000.0,USD,USA,Washington,Seattle,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Education,Speech Language Pathologist,83200.0,USD,USA,Washington,Pasco,1 year or less,1 year or less,Master's degree,Woman,Asian or Asian American
25-34,Accounting/Banking/Finance,Staff Accountant,65000.0,USD,USA,Massachusetts,Cambridge,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Architectural Project Manager,77000.0,USD,USA,Ohio,Akron,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Computing/IT/Tech,Lead Developer,165000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Art/Design/Media,Software Engineer,101000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Computing/IT/Tech,Project Manager,60000.0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Education,librarian,65000.0,USD,USA,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
